Epoch 1, Loss G: -0.0548,Loss D: -0.0102
Epoch 93, Loss G: -3.6607,Loss D:  0.7779
Epoch 94, Loss G: -3.6333,Loss D:  0.6713
Epoch 95, Loss G: -3.6706,Loss D:  0.6064
Epoch 96, Loss G: -3.6682,Loss D:  0.5178
Epoch 97, Loss G: -3.4967,Loss D:  0.2493
Epoch 98, Loss G: -3.5562,Loss D:  0.2655
Epoch 99, Loss G: -3.4624,Loss D:  0.2076
Epoch 100, Loss G: -3.4765,Loss D:  0.2293
Epoch 101, Loss G: -3.7341,Loss D: -0.3291
Epoch 102, Loss G: -3.7208,Loss D: -0.1670
Epoch 103, Loss G: -3.2670,Loss D: -0.2364
Epoch 104, Loss G: -3.5590,Loss D: -0.4656
Epoch 105, Loss G: -3.5067,Loss D: -0.2598
Epoch 106, Loss G: -3.2611,Loss D: -0.3112
Epoch 107, Loss G: -3.4653,Loss D: -0.3812
Epoch 108, Loss G: -3.4630,Loss D: -0.2147
Epoch 109, Loss G: -3.5652,Loss D: -0.2490
Epoch 110, Loss G: -3.7678,Loss D: -0.5015
Epoch 111, Loss G: -3.8319,Loss D:  0.0835
Epoch 112, Loss G: -3.8458,Loss D:  0.2595
Epoch 113, Loss G: -4.2521,Loss D:  0.4701
Epoch 114, Loss G: -4.0536,Loss D:  0.3995
Epoch 115, Loss G: -4.3873,Loss D:  0.6216
Epoch 116, Loss G: -4.5244,Loss D:  0.9050
Epoch 117, Loss G: -4.5739,Loss D:  0.8951
Epoch 118, Loss G: -4.6417,Loss D:  0.8615
Epoch 119, Loss G: -4.7749,Loss D:  0.7671
Epoch 120, Loss G: -4.9278,Loss D:  0.7577
Epoch 121, Loss G: -4.6501,Loss D:  0.6130
Epoch 122, Loss G: -4.6069,Loss D:  0.7075
Epoch 123, Loss G: -4.9411,Loss D:  0.2053
Epoch 124, Loss G: -4.6352,Loss D:  0.5672
Epoch 125, Loss G: -4.4790,Loss D:  0.2415
Epoch 126, Loss G: -4.3600,Loss D: -0.0952
Epoch 127, Loss G: -3.9879,Loss D:  0.3267
Epoch 128, Loss G: -3.8035,Loss D: -0.0141
Epoch 129, Loss G: -3.7287,Loss D: -0.0220
Epoch 130, Loss G: -3.1206,Loss D: -0.8232
Epoch 131, Loss G: -3.3187,Loss D: -0.6564
Epoch 132, Loss G: -2.9943,Loss D: -0.6421
Epoch 133, Loss G: -2.6796,Loss D: -0.7828
Epoch 134, Loss G: -2.8230,Loss D: -0.7576
Epoch 135, Loss G: -3.0656,Loss D: -0.5517
Epoch 136, Loss G: -3.1435,Loss D: -0.6532
Epoch 137, Loss G: -3.3758,Loss D: -0.2569
Epoch 138, Loss G: -3.4002,Loss D: -0.1313
Epoch 139, Loss G: -3.2934,Loss D:  0.4424
Epoch 140, Loss G: -3.5081,Loss D:  0.5346
Epoch 141, Loss G: -3.9970,Loss D:  0.5499
Epoch 142, Loss G: -4.0493,Loss D:  0.7998
Epoch 143, Loss G: -4.6600,Loss D:  1.1702
Epoch 144, Loss G: -4.5428,Loss D:  1.4778
Epoch 145, Loss G: -4.5832,Loss D:  1.0196
Epoch 146, Loss G: -4.5529,Loss D:  0.9897
Epoch 147, Loss G: -4.6045,Loss D:  1.1730
Epoch 148, Loss G: -4.3832,Loss D:  1.0519
Epoch 149, Loss G: -4.4733,Loss D:  0.5577
Epoch 150, Loss G: -4.3084,Loss D:  0.4762
Epoch 151, Loss G: -4.1508,Loss D:  0.0400
Epoch 152, Loss G: -3.9950,Loss D: -0.1712
Epoch 153, Loss G: -3.7840,Loss D: -0.0282
Epoch 154, Loss G: -3.5224,Loss D: -0.6876
Epoch 155, Loss G: -3.3317,Loss D: -0.7500
Epoch 156, Loss G: -2.8390,Loss D: -0.7245
Epoch 157, Loss G: -2.9463,Loss D: -0.9343
Epoch 158, Loss G: -2.6629,Loss D: -0.9432
Epoch 159, Loss G: -2.8188,Loss D: -1.0220
Epoch 160, Loss G: -2.7009,Loss D: -1.0209
Epoch 161, Loss G: -2.7500,Loss D: -0.3711
Epoch 162, Loss G: -3.0291,Loss D: -0.7682
Epoch 163, Loss G: -3.3454,Loss D: -0.4887
Epoch 164, Loss G: -3.8193,Loss D:  0.0055
Epoch 165, Loss G: -3.8337,Loss D:  0.6769
Epoch 166, Loss G: -4.3370,Loss D:  0.5620
Epoch 167, Loss G: -4.5183,Loss D:  1.0146
Epoch 168, Loss G: -4.8725,Loss D:  1.1036
Epoch 169, Loss G: -5.0169,Loss D:  1.2491
Epoch 170, Loss G: -5.0927,Loss D:  1.0378
Epoch 171, Loss G: -5.1835,Loss D:  0.6855
Epoch 172, Loss G: -5.0087,Loss D:  0.9977
Epoch 173, Loss G: -4.9852,Loss D:  0.4562
Epoch 174, Loss G: -4.7748,Loss D:  0.1216
Epoch 175, Loss G: -4.5487,Loss D: -0.1789
Epoch 176, Loss G: -3.8638,Loss D: -0.0540
Epoch 177, Loss G: -3.9136,Loss D: -0.6745
Epoch 178, Loss G: -3.2949,Loss D: -0.6927
Epoch 179, Loss G: -3.2353,Loss D: -0.9841
Epoch 180, Loss G: -3.3815,Loss D: -1.1501
Epoch 181, Loss G: -3.2593,Loss D: -0.8892
Epoch 182, Loss G: -2.8956,Loss D: -0.9580
Epoch 183, Loss G: -3.0245,Loss D: -0.3996
Epoch 184, Loss G: -3.4926,Loss D: -0.8280
Epoch 185, Loss G: -3.6800,Loss D: -0.0344
Epoch 186, Loss G: -4.1255,Loss D:  0.3258
Epoch 187, Loss G: -4.2457,Loss D:  0.4606
Epoch 188, Loss G: -4.4634,Loss D:  0.5126
Epoch 189, Loss G: -4.8407,Loss D:  0.4534
Epoch 190, Loss G: -4.7416,Loss D:  0.9044
Epoch 191, Loss G: -4.8123,Loss D:  0.8685
Epoch 192, Loss G: -4.5109,Loss D:  0.7990
Epoch 193, Loss G: -4.4461,Loss D:  0.4888
Epoch 194, Loss G: -4.4405,Loss D: -0.2483
Epoch 195, Loss G: -4.3966,Loss D:  0.1505
Epoch 196, Loss G: -4.2022,Loss D:  0.0821
Epoch 197, Loss G: -4.1437,Loss D: -0.1991
Epoch 198, Loss G: -4.0219,Loss D: -0.2997
Epoch 199, Loss G: -4.0769,Loss D: -0.0036
Epoch 200, Loss G: -4.2315,Loss D: -0.4736
Epoch 201, Loss G: -4.5582,Loss D: -0.0379
Epoch 202, Loss G: -4.5360,Loss D: -0.1440
Epoch 203, Loss G: -4.7302,Loss D:  0.0541
Epoch 204, Loss G: -4.7182,Loss D:  0.1358
Epoch 205, Loss G: -4.2897,Loss D: -0.0220
Epoch 206, Loss G: -4.5563,Loss D: -0.1421
Epoch 207, Loss G: -4.2230,Loss D: -0.2366
Epoch 208, Loss G: -4.4536,Loss D: -0.2112
Epoch 209, Loss G: -4.2898,Loss D: -0.3883
Epoch 210, Loss G: -4.5437,Loss D:  0.2930
Epoch 211, Loss G: -4.7002,Loss D: -0.0666
Epoch 212, Loss G: -4.8714,Loss D:  0.3554
Epoch 213, Loss G: -4.6545,Loss D:  0.2835
Epoch 214, Loss G: -4.9299,Loss D:  0.1564
Epoch 215, Loss G: -4.9984,Loss D: -0.0602
Epoch 216, Loss G: -5.2738,Loss D: -0.4255
Epoch 217, Loss G: -5.4090,Loss D: -0.0666
Epoch 218, Loss G: -5.1874,Loss D: -0.0385
Epoch 219, Loss G: -5.2135,Loss D:  0.2138
Epoch 220, Loss G: -5.0485,Loss D: -0.0335
Epoch 221, Loss G: -5.3911,Loss D:  0.0296
Epoch 222, Loss G: -5.1797,Loss D:  0.1646
Epoch 223, Loss G: -4.9412,Loss D:  0.3865
Epoch 224, Loss G: -5.2491,Loss D: -0.1394
Epoch 225, Loss G: -4.8732,Loss D:  0.1919
Epoch 226, Loss G: -5.5747,Loss D:  0.0825
Epoch 227, Loss G: -5.3419,Loss D: -0.0498
Epoch 228, Loss G: -5.2950,Loss D:  0.4051
Epoch 229, Loss G: -5.3793,Loss D:  0.5698
Epoch 230, Loss G: -5.5025,Loss D: -0.1089
Epoch 231, Loss G: -5.3934,Loss D:  0.4954
Epoch 232, Loss G: -5.6010,Loss D:  0.7557
Epoch 233, Loss G: -5.6973,Loss D: -0.0197
Epoch 234, Loss G: -5.6086,Loss D:  0.0584
Epoch 235, Loss G: -5.2815,Loss D: -0.1325
Epoch 236, Loss G: -5.5528,Loss D: -0.1189
Epoch 237, Loss G: -5.4130,Loss D: -0.0697
Epoch 238, Loss G: -5.3548,Loss D:  0.1490
Epoch 239, Loss G: -5.3067,Loss D: -0.3352
Epoch 240, Loss G: -5.0458,Loss D:  0.1948
Epoch 241, Loss G: -4.7263,Loss D:  0.1479
Epoch 242, Loss G: -5.1045,Loss D: -0.3134
Epoch 243, Loss G: -4.5148,Loss D:  0.0688
Epoch 244, Loss G: -5.1539,Loss D: -0.1303
Epoch 245, Loss G: -4.4714,Loss D: -0.1254
Epoch 246, Loss G: -4.4712,Loss D:  0.2076
Epoch 247, Loss G: -4.2871,Loss D:  0.1084
Epoch 248, Loss G: -4.4321,Loss D: -0.1277
Epoch 249, Loss G: -4.9025,Loss D:  0.4543
Epoch 250, Loss G: -4.8561,Loss D:  0.0336
Epoch 251, Loss G: -4.6588,Loss D:  0.4368
Epoch 252, Loss G: -4.8204,Loss D:  0.4064
Epoch 253, Loss G: -5.0222,Loss D: -0.1262
Epoch 254, Loss G: -5.0595,Loss D:  0.5874
Epoch 255, Loss G: -4.9064,Loss D:  0.2657
Epoch 256, Loss G: -4.9862,Loss D:  0.4877
Epoch 257, Loss G: -4.7438,Loss D:  0.2265
Epoch 258, Loss G: -4.9748,Loss D:  0.3568
Epoch 259, Loss G: -4.8701,Loss D: -0.0125
Epoch 260, Loss G: -5.1155,Loss D: -0.2316
Epoch 261, Loss G: -4.6922,Loss D:  0.1744
Epoch 262, Loss G: -4.6873,Loss D: -0.0697
Epoch 263, Loss G: -4.7158,Loss D: -0.1013
Epoch 264, Loss G: -4.7350,Loss D: -0.3137
Epoch 265, Loss G: -4.8472,Loss D: -0.3109
Epoch 266, Loss G: -4.5488,Loss D: -0.0968
Epoch 267, Loss G: -5.2182,Loss D: -0.0529
Epoch 268, Loss G: -5.2137,Loss D:  0.6951
Epoch 269, Loss G: -5.3899,Loss D:  0.2289
Epoch 270, Loss G: -5.3492,Loss D:  0.6013
Epoch 271, Loss G: -5.2560,Loss D:  0.3247
Epoch 272, Loss G: -5.2853,Loss D:  0.6785
Epoch 273, Loss G: -5.5474,Loss D:  0.3065
Epoch 274, Loss G: -5.4269,Loss D:  0.1388
Epoch 275, Loss G: -5.1959,Loss D:  0.1907
Epoch 276, Loss G: -5.3442,Loss D:  0.0327
Epoch 277, Loss G: -5.6147,Loss D: -0.1548
Epoch 278, Loss G: -5.0149,Loss D: -0.1401
Epoch 279, Loss G: -5.3980,Loss D: -0.1316
Epoch 280, Loss G: -5.2758,Loss D: -0.1308
Epoch 281, Loss G: -4.9906,Loss D: -0.0314
Epoch 282, Loss G: -5.0126,Loss D: -0.0992
Epoch 283, Loss G: -5.1334,Loss D: -0.3280
Epoch 284, Loss G: -5.0838,Loss D:  0.1106
Epoch 285, Loss G: -5.3016,Loss D:  0.2765
Epoch 286, Loss G: -5.3118,Loss D:  0.1414
Epoch 287, Loss G: -5.1353,Loss D:  0.3720
Epoch 288, Loss G: -5.6024,Loss D: -0.1194
Epoch 289, Loss G: -5.5308,Loss D:  0.6320
Epoch 290, Loss G: -5.8814,Loss D:  0.2066
Epoch 291, Loss G: -5.9567,Loss D:  0.8216
Epoch 292, Loss G: -5.8228,Loss D:  0.4486
Epoch 293, Loss G: -5.5535,Loss D:  0.5851
Epoch 294, Loss G: -6.1034,Loss D:  0.7051
Epoch 295, Loss G: -6.1804,Loss D:  0.6323
Epoch 296, Loss G: -5.8518,Loss D:  0.6238
Epoch 297, Loss G: -6.0592,Loss D:  0.1473
Epoch 298, Loss G: -5.7770,Loss D:  0.1078
Epoch 299, Loss G: -5.4973,Loss D:  0.4133
Epoch 300, Loss G: -5.6773,Loss D: -0.2545
Epoch 301, Loss G: -5.4839,Loss D: -0.5082
Epoch 302, Loss G: -5.5584,Loss D: -0.1897
Epoch 303, Loss G: -5.2885,Loss D: -0.1211
Epoch 304, Loss G: -5.2013,Loss D: -0.3058
Epoch 305, Loss G: -5.3307,Loss D:  0.1402
Epoch 306, Loss G: -5.2556,Loss D: -0.3135
Epoch 307, Loss G: -5.6456,Loss D:  0.3449
Epoch 308, Loss G: -5.0799,Loss D: -0.1366
Epoch 309, Loss G: -5.3845,Loss D:  0.3470
Epoch 310, Loss G: -5.3510,Loss D:  0.1375
Epoch 311, Loss G: -5.5704,Loss D:  0.4486
Epoch 312, Loss G: -5.5426,Loss D:  0.2203
Epoch 313, Loss G: -5.7647,Loss D:  0.2325
Epoch 314, Loss G: -5.4395,Loss D:  0.4770
Epoch 315, Loss G: -5.7668,Loss D: -0.0375
Epoch 316, Loss G: -5.3406,Loss D:  0.5495
Epoch 317, Loss G: -5.3294,Loss D:  0.3297
Epoch 318, Loss G: -4.9302,Loss D: -0.1109
Epoch 319, Loss G: -5.0722,Loss D:  0.1058
Epoch 320, Loss G: -4.8788,Loss D: -0.0387
Epoch 321, Loss G: -4.9481,Loss D: -0.1024
Epoch 322, Loss G: -4.7322,Loss D: -0.4043
Epoch 323, Loss G: -4.6911,Loss D: -0.1297
Epoch 324, Loss G: -4.7230,Loss D: -0.6202
Epoch 325, Loss G: -4.9604,Loss D: -0.3993
Epoch 326, Loss G: -4.6820,Loss D: -0.2459
Epoch 327, Loss G: -4.7565,Loss D:  0.0599
Epoch 328, Loss G: -4.7664,Loss D: -0.1413
Epoch 329, Loss G: -4.8675,Loss D:  0.2571
Epoch 330, Loss G: -5.1384,Loss D:  0.0164
Epoch 331, Loss G: -5.0894,Loss D:  0.2721
Epoch 332, Loss G: -5.2725,Loss D:  0.1828
Epoch 333, Loss G: -5.4050,Loss D:  0.3450
Epoch 334, Loss G: -5.0913,Loss D: -0.1661
Epoch 335, Loss G: -5.6177,Loss D:  0.0288
Epoch 336, Loss G: -5.2187,Loss D: -0.1879
Epoch 337, Loss G: -5.4843,Loss D:  0.5310
Epoch 338, Loss G: -5.5074,Loss D:  0.0188
Epoch 339, Loss G: -5.6191,Loss D:  0.0006
Epoch 340, Loss G: -5.3890,Loss D:  0.1960
Epoch 341, Loss G: -5.3378,Loss D:  0.0683
Epoch 342, Loss G: -5.8207,Loss D: -0.5008
Epoch 343, Loss G: -6.0113,Loss D:  0.2679
Epoch 344, Loss G: -6.0883,Loss D:  0.1386
Epoch 345, Loss G: -5.9490,Loss D:  0.0852
Epoch 346, Loss G: -5.9474,Loss D:  0.3423
Epoch 347, Loss G: -5.8368,Loss D:  0.0141
Epoch 348, Loss G: -6.1587,Loss D:  0.2141
Epoch 349, Loss G: -6.0770,Loss D: -0.0188
Epoch 350, Loss G: -6.0241,Loss D: -0.1239
Epoch 351, Loss G: -6.2822,Loss D: -0.1186
Epoch 352, Loss G: -5.9002,Loss D: -0.0173
Epoch 353, Loss G: -6.0133,Loss D: -0.0416
Epoch 354, Loss G: -5.9887,Loss D: -0.2895
Epoch 355, Loss G: -6.0005,Loss D: -0.6802
Epoch 356, Loss G: -5.7210,Loss D: -0.3976
Epoch 357, Loss G: -5.9021,Loss D: -0.1337
Epoch 358, Loss G: -5.9505,Loss D:  0.2533
Epoch 359, Loss G: -5.3568,Loss D: -0.3114
Epoch 360, Loss G: -5.6768,Loss D: -0.3848
Epoch 361, Loss G: -5.3429,Loss D:  0.0104
Epoch 362, Loss G: -5.6993,Loss D:  0.0162
Epoch 363, Loss G: -6.1065,Loss D:  0.2017
Epoch 364, Loss G: -5.7669,Loss D: -0.1179
Epoch 365, Loss G: -6.0234,Loss D:  0.3180
Epoch 366, Loss G: -6.2647,Loss D:  0.9613
Epoch 367, Loss G: -6.2753,Loss D:  0.7872
Epoch 368, Loss G: -6.0110,Loss D:  0.5232
Epoch 369, Loss G: -6.3280,Loss D:  0.3363
Epoch 370, Loss G: -6.0063,Loss D:  0.0095
Epoch 371, Loss G: -6.1447,Loss D:  0.3437
Epoch 372, Loss G: -6.1363,Loss D: -0.2152
Epoch 373, Loss G: -6.1260,Loss D:  0.4148
Epoch 374, Loss G: -6.0311,Loss D: -0.2217
Epoch 375, Loss G: -5.8446,Loss D: -0.1596
Epoch 376, Loss G: -5.5487,Loss D: -0.0992
Epoch 377, Loss G: -5.6309,Loss D: -0.5344
Epoch 378, Loss G: -5.9620,Loss D:  0.1798
Epoch 379, Loss G: -5.8996,Loss D: -0.7108
Epoch 380, Loss G: -5.6735,Loss D: -0.2653
Epoch 381, Loss G: -5.7614,Loss D: -0.1753
Epoch 382, Loss G: -5.7378,Loss D: -0.3617
Epoch 383, Loss G: -5.7548,Loss D:  0.0450
Epoch 384, Loss G: -5.5943,Loss D: -0.0054
Epoch 385, Loss G: -6.3049,Loss D: -0.3259
Epoch 386, Loss G: -6.0785,Loss D:  0.1173
Epoch 387, Loss G: -6.1498,Loss D:  0.1533
Epoch 388, Loss G: -6.4638,Loss D:  0.2768
Epoch 389, Loss G: -6.3244,Loss D:  0.3465
Epoch 390, Loss G: -6.3928,Loss D:  0.1137
Epoch 391, Loss G: -6.2742,Loss D:  0.3934
Epoch 392, Loss G: -6.6562,Loss D:  0.0735
Epoch 393, Loss G: -6.4470,Loss D:  0.0714
Epoch 394, Loss G: -6.8513,Loss D:  0.3911
Epoch 395, Loss G: -6.9941,Loss D:  0.0210
Epoch 396, Loss G: -6.4166,Loss D:  0.3256
Epoch 397, Loss G: -6.4429,Loss D:  0.1708
Epoch 398, Loss G: -6.4170,Loss D:  0.2093
Epoch 399, Loss G: -6.4232,Loss D: -0.4087
Epoch 400, Loss G: -6.6370,Loss D:  0.0420
Epoch 401, Loss G: -6.6531,Loss D:  0.1152
Epoch 402, Loss G: -6.2389,Loss D: -0.1160
Epoch 403, Loss G: -6.2258,Loss D:  0.2109
Epoch 404, Loss G: -6.4608,Loss D: -0.4305
Epoch 405, Loss G: -5.7909,Loss D:  0.1296
Epoch 406, Loss G: -5.9611,Loss D: -0.6306
Epoch 407, Loss G: -5.8280,Loss D: -0.2402
Epoch 408, Loss G: -6.3748,Loss D:  0.0819
Epoch 409, Loss G: -6.1611,Loss D:  0.1930
Epoch 410, Loss G: -6.1362,Loss D:  0.4034
Epoch 411, Loss G: -6.1673,Loss D:  0.2066
Epoch 412, Loss G: -6.2234,Loss D:  0.3776
Epoch 413, Loss G: -6.2409,Loss D:  0.1902
Epoch 414, Loss G: -6.3124,Loss D:  0.0282
Epoch 415, Loss G: -5.6888,Loss D:  0.1029
Epoch 416, Loss G: -6.0370,Loss D:  0.2348
Epoch 417, Loss G: -5.7978,Loss D: -0.1598
Epoch 418, Loss G: -5.9535,Loss D: -0.3357
Epoch 419, Loss G: -6.0327,Loss D:  0.7698
Epoch 420, Loss G: -5.7129,Loss D:  0.2984
Epoch 421, Loss G: -5.8765,Loss D: -0.1597
Epoch 422, Loss G: -5.6754,Loss D: -0.2553
Epoch 423, Loss G: -5.6090,Loss D: -0.1990
Epoch 424, Loss G: -5.8168,Loss D: -0.0197
Epoch 425, Loss G: -5.6131,Loss D:  0.1456
Epoch 426, Loss G: -5.6247,Loss D: -0.2061
Epoch 427, Loss G: -5.8472,Loss D: -0.1433
Epoch 428, Loss G: -5.8043,Loss D:  0.1611
Epoch 429, Loss G: -6.1962,Loss D:  0.0230
Epoch 430, Loss G: -6.3158,Loss D:  0.4632
Epoch 431, Loss G: -6.2641,Loss D:  0.1544
Epoch 432, Loss G: -6.5250,Loss D: -0.2349
Epoch 433, Loss G: -6.3117,Loss D:  0.2124
Epoch 434, Loss G: -6.2807,Loss D:  0.0876
Epoch 435, Loss G: -6.5743,Loss D:  0.0295
Epoch 436, Loss G: -6.5371,Loss D: -0.3235
Epoch 437, Loss G: -7.0639,Loss D: -0.0303
Epoch 438, Loss G: -6.9089,Loss D: -0.1894
Epoch 439, Loss G: -6.8905,Loss D: -0.0069
Epoch 440, Loss G: -6.8651,Loss D: -0.2902
Epoch 441, Loss G: -6.7285,Loss D: -0.4500
Epoch 442, Loss G: -6.8156,Loss D:  0.2755
Epoch 443, Loss G: -6.7371,Loss D:  0.0901
Epoch 444, Loss G: -6.9658,Loss D:  0.2509
Epoch 445, Loss G: -6.7252,Loss D: -0.3104
Epoch 446, Loss G: -7.1558,Loss D:  0.9746
Epoch 447, Loss G: -7.0132,Loss D:  0.2444
Epoch 448, Loss G: -7.1402,Loss D:  0.8436
Epoch 449, Loss G: -7.2378,Loss D:  0.0079
Epoch 450, Loss G: -7.0504,Loss D: -0.1481
Epoch 451, Loss G: -7.0414,Loss D:  0.3236
Epoch 452, Loss G: -6.9268,Loss D:  0.0644
Epoch 453, Loss G: -6.9459,Loss D:  0.1824
Epoch 454, Loss G: -7.0794,Loss D: -0.1133
Epoch 455, Loss G: -7.0132,Loss D:  0.0264
Epoch 456, Loss G: -7.0440,Loss D: -0.1078
Epoch 457, Loss G: -6.8019,Loss D: -0.1891
Epoch 458, Loss G: -6.7382,Loss D:  0.3434
Epoch 459, Loss G: -6.4103,Loss D: -0.2079
Epoch 460, Loss G: -6.3053,Loss D: -0.1139
Epoch 461, Loss G: -6.4645,Loss D:  0.3175
Epoch 462, Loss G: -5.9507,Loss D: -0.3465
Epoch 463, Loss G: -6.3847,Loss D:  0.1175
Epoch 464, Loss G: -5.4793,Loss D:  0.1376
Epoch 465, Loss G: -5.8396,Loss D:  0.3391
Epoch 466, Loss G: -5.7235,Loss D: -0.0626
Epoch 467, Loss G: -5.7774,Loss D:  0.0764
Epoch 468, Loss G: -5.7107,Loss D:  0.1395
Epoch 469, Loss G: -5.9102,Loss D:  0.1010
Epoch 470, Loss G: -6.0085,Loss D: -0.1682
Epoch 471, Loss G: -6.1381,Loss D:  0.2289
Epoch 472, Loss G: -6.1412,Loss D:  0.4684
Epoch 473, Loss G: -5.6331,Loss D:  0.0442
Epoch 474, Loss G: -5.6797,Loss D:  0.2317
Epoch 475, Loss G: -5.5707,Loss D: -0.3042
Epoch 476, Loss G: -5.4854,Loss D:  0.3253
Epoch 477, Loss G: -5.5147,Loss D: -0.3252
Epoch 478, Loss G: -5.4704,Loss D: -0.7853
Epoch 479, Loss G: -5.6371,Loss D:  0.2990
Epoch 480, Loss G: -5.3884,Loss D: -0.3429
Epoch 481, Loss G: -5.6496,Loss D: -0.2316
