Epoch 1, Loss G:  1.3784,Loss D:  0.0065
Epoch 110, Loss G:  0.9904,Loss D: -0.2869
Epoch 111, Loss G:  1.1538,Loss D: -0.3510
Epoch 112, Loss G:  1.0639,Loss D: -0.2128
Epoch 113, Loss G:  0.9307,Loss D: -0.3914
Epoch 114, Loss G:  0.9438,Loss D: -0.4619
Epoch 115, Loss G:  1.2442,Loss D: -0.2218
Epoch 116, Loss G:  0.9213,Loss D: -0.2990
Epoch 117, Loss G:  1.0080,Loss D: -0.2616
Epoch 118, Loss G:  0.8910,Loss D:  0.0244
Epoch 119, Loss G:  0.8394,Loss D: -0.1249
Epoch 120, Loss G:  0.8492,Loss D: -0.0521
Epoch 121, Loss G:  0.8170,Loss D: -0.0874
Epoch 122, Loss G:  0.6475,Loss D:  0.1293
Epoch 123, Loss G:  0.5887,Loss D:  0.1305
Epoch 124, Loss G:  0.5275,Loss D:  0.3127
Epoch 125, Loss G:  0.6285,Loss D:  0.6428
Epoch 126, Loss G:  0.5952,Loss D:  0.4057
Epoch 127, Loss G:  0.5861,Loss D:  0.4604
Epoch 128, Loss G:  0.4378,Loss D:  0.3977
Epoch 129, Loss G:  0.5054,Loss D:  0.3934
Epoch 130, Loss G:  0.4411,Loss D:  0.4897
Epoch 131, Loss G:  0.5346,Loss D:  0.1949
Epoch 132, Loss G:  0.4858,Loss D:  0.3637
Epoch 133, Loss G:  0.5157,Loss D:  0.1731
Epoch 134, Loss G:  0.5041,Loss D:  0.0060
Epoch 135, Loss G:  0.7932,Loss D:  0.1656
Epoch 136, Loss G:  0.8318,Loss D:  0.1421
Epoch 137, Loss G:  0.8404,Loss D: -0.0937
Epoch 138, Loss G:  0.8498,Loss D: -0.0342
Epoch 139, Loss G:  0.8217,Loss D: -0.2154
Epoch 140, Loss G:  0.8377,Loss D: -0.2117
Epoch 141, Loss G:  1.0489,Loss D: -0.0118
Epoch 142, Loss G:  0.7654,Loss D: -0.2074
Epoch 143, Loss G:  0.8227,Loss D: -0.0549
Epoch 144, Loss G:  0.5905,Loss D: -0.0216
Epoch 145, Loss G:  0.6128,Loss D:  0.1699
Epoch 146, Loss G:  0.4384,Loss D:  0.1676
Epoch 147, Loss G:  0.5703,Loss D:  0.1377
Epoch 148, Loss G:  0.2556,Loss D:  0.2412
Epoch 149, Loss G:  0.0601,Loss D:  0.3438
Epoch 150, Loss G: -0.1187,Loss D:  0.2135
Epoch 151, Loss G: -0.2356,Loss D:  0.4289
Epoch 152, Loss G: -0.1737,Loss D:  0.2035
Epoch 153, Loss G: -0.4307,Loss D:  0.4878
Epoch 154, Loss G: -0.4989,Loss D:  0.5197
Epoch 155, Loss G: -0.2855,Loss D:  0.2456
Epoch 156, Loss G: -0.3342,Loss D:  0.3457
Epoch 157, Loss G: -0.1114,Loss D:  0.3602
Epoch 158, Loss G: -0.1914,Loss D:  0.1792
Epoch 159, Loss G: -0.1323,Loss D: -0.1764
Epoch 160, Loss G: -0.0826,Loss D: -0.1098
Epoch 161, Loss G: -0.1544,Loss D: -0.3335
Epoch 162, Loss G: -0.0095,Loss D: -0.6161
Epoch 163, Loss G:  0.2594,Loss D: -0.2164
Epoch 164, Loss G:  0.1274,Loss D:  0.0413
Epoch 165, Loss G:  0.1344,Loss D: -0.2461
Epoch 166, Loss G:  0.0409,Loss D: -0.2235
Epoch 167, Loss G: -0.0777,Loss D: -0.4719
Epoch 168, Loss G: -0.1296,Loss D: -0.3039
Epoch 169, Loss G: -0.1767,Loss D: -0.2180
Epoch 170, Loss G: -0.3212,Loss D: -0.2059
Epoch 171, Loss G: -0.4538,Loss D: -0.0452
Epoch 172, Loss G: -0.5490,Loss D:  0.0274
Epoch 173, Loss G: -0.6735,Loss D:  0.1793
Epoch 174, Loss G: -0.5785,Loss D:  0.0971
Epoch 175, Loss G: -0.7936,Loss D: -0.0232
Epoch 176, Loss G: -0.8334,Loss D:  0.2801
Epoch 177, Loss G: -0.6190,Loss D: -0.0111
Epoch 178, Loss G: -0.5033,Loss D: -0.0308
Epoch 179, Loss G: -0.5377,Loss D: -0.1635
Epoch 180, Loss G: -0.3813,Loss D: -0.2464
Epoch 181, Loss G: -0.3862,Loss D: -0.3084
Epoch 182, Loss G: -0.1942,Loss D: -0.3237
Epoch 183, Loss G: -0.1866,Loss D: -0.1996
Epoch 184, Loss G: -0.1904,Loss D: -0.5963
Epoch 185, Loss G: -0.2307,Loss D: -0.2375
Epoch 186, Loss G: -0.2485,Loss D: -0.1800
Epoch 187, Loss G: -0.2514,Loss D: -0.1021
Epoch 188, Loss G: -0.3767,Loss D: -0.0330
Epoch 189, Loss G: -0.5338,Loss D:  0.0937
Epoch 190, Loss G: -0.5892,Loss D:  0.1061
Epoch 191, Loss G: -0.7410,Loss D:  0.2177
Epoch 192, Loss G: -0.7234,Loss D:  0.2458
Epoch 193, Loss G: -0.7087,Loss D:  0.0263
Epoch 194, Loss G: -0.6868,Loss D:  0.1322
Epoch 195, Loss G: -0.5988,Loss D:  0.1319
Epoch 196, Loss G: -0.5799,Loss D: -0.0538
Epoch 197, Loss G: -0.3968,Loss D: -0.1087
Epoch 198, Loss G: -0.5328,Loss D: -0.3569
Epoch 199, Loss G: -0.6544,Loss D: -0.1351
Epoch 200, Loss G: -0.6388,Loss D: -0.2587
Epoch 201, Loss G: -0.7915,Loss D: -0.0766
Epoch 202, Loss G: -0.7727,Loss D:  0.1157
Epoch 203, Loss G: -0.8405,Loss D:  0.2337
Epoch 204, Loss G: -0.7651,Loss D:  0.0464
Epoch 205, Loss G: -0.9317,Loss D:  0.0281
Epoch 206, Loss G: -0.8866,Loss D:  0.2252
Epoch 207, Loss G: -0.9409,Loss D:  0.2051
Epoch 208, Loss G: -0.8372,Loss D:  0.1115
Epoch 209, Loss G: -0.9358,Loss D:  0.0133
Epoch 210, Loss G: -0.7978,Loss D:  0.2729
Epoch 211, Loss G: -0.6276,Loss D: -0.0139
Epoch 212, Loss G: -0.4444,Loss D: -0.1822
Epoch 213, Loss G: -0.5539,Loss D:  0.0180
Epoch 214, Loss G: -0.7077,Loss D: -0.1671
Epoch 215, Loss G: -0.6353,Loss D:  0.1783
Epoch 216, Loss G: -0.6419,Loss D:  0.3037
Epoch 217, Loss G: -0.5293,Loss D:  0.0344
Epoch 218, Loss G: -0.6515,Loss D: -0.0813
Epoch 219, Loss G: -0.5524,Loss D:  0.3618
Epoch 220, Loss G: -0.7646,Loss D:  0.1696
Epoch 221, Loss G: -0.7767,Loss D:  0.2240
Epoch 222, Loss G: -0.6160,Loss D:  0.1550
Epoch 223, Loss G: -0.5682,Loss D:  0.0345
Epoch 224, Loss G: -0.7325,Loss D:  0.3160
Epoch 225, Loss G: -0.7201,Loss D:  0.2125
Epoch 226, Loss G: -0.7598,Loss D:  0.1862
Epoch 227, Loss G: -0.8371,Loss D:  0.2632
Epoch 228, Loss G: -0.7150,Loss D:  0.2277
Epoch 229, Loss G: -0.8151,Loss D:  0.4205
Epoch 230, Loss G: -0.8995,Loss D:  0.1438
Epoch 231, Loss G: -1.0248,Loss D:  0.1569
Epoch 232, Loss G: -0.7810,Loss D:  0.3086
Epoch 233, Loss G: -0.9645,Loss D:  0.2695
Epoch 234, Loss G: -0.9153,Loss D:  0.1583
Epoch 235, Loss G: -1.1130,Loss D:  0.2746
Epoch 236, Loss G: -1.1279,Loss D: -0.0456
Epoch 237, Loss G: -0.9436,Loss D:  0.3753
Epoch 238, Loss G: -1.0965,Loss D:  0.2551
Epoch 239, Loss G: -0.9432,Loss D:  0.1288
Epoch 240, Loss G: -0.7859,Loss D: -0.1080
Epoch 241, Loss G: -0.8320,Loss D:  0.0852
Epoch 242, Loss G: -0.8335,Loss D: -0.0856
Epoch 243, Loss G: -0.8908,Loss D:  0.0212
Epoch 244, Loss G: -0.7800,Loss D: -0.3456
Epoch 245, Loss G: -0.7793,Loss D: -0.3220
Epoch 246, Loss G: -0.9948,Loss D:  0.0198
Epoch 247, Loss G: -1.1030,Loss D: -0.0490
Epoch 248, Loss G: -0.8348,Loss D: -0.0207
Epoch 249, Loss G: -0.8687,Loss D:  0.1897
Epoch 250, Loss G: -0.9126,Loss D:  0.0557
Epoch 251, Loss G: -0.8018,Loss D:  0.0404
Epoch 252, Loss G: -1.0660,Loss D:  0.1400
Epoch 253, Loss G: -0.8702,Loss D: -0.0365
Epoch 254, Loss G: -0.9910,Loss D: -0.1536
Epoch 255, Loss G: -0.8830,Loss D:  0.0240
Epoch 256, Loss G: -0.9949,Loss D: -0.2571
Epoch 257, Loss G: -1.1180,Loss D: -0.1091
Epoch 258, Loss G: -1.2007,Loss D: -0.1131
Epoch 259, Loss G: -1.1159,Loss D: -0.0499
Epoch 260, Loss G: -1.2366,Loss D: -0.0010
Epoch 261, Loss G: -1.2357,Loss D:  0.0767
Epoch 262, Loss G: -1.2486,Loss D:  0.2746
Epoch 263, Loss G: -1.2271,Loss D: -0.0592
Epoch 264, Loss G: -1.3024,Loss D:  0.2046
Epoch 265, Loss G: -1.2512,Loss D:  0.0040
Epoch 266, Loss G: -1.5858,Loss D: -0.0663
Epoch 267, Loss G: -1.5716,Loss D:  0.0786
Epoch 268, Loss G: -1.5188,Loss D:  0.0221
Epoch 269, Loss G: -1.4843,Loss D: -0.0313
Epoch 270, Loss G: -1.7165,Loss D: -0.0855
Epoch 271, Loss G: -1.7571,Loss D:  0.0987
Epoch 272, Loss G: -1.8233,Loss D:  0.1530
Epoch 273, Loss G: -1.6176,Loss D: -0.0318
Epoch 274, Loss G: -1.6574,Loss D:  0.0972
Epoch 275, Loss G: -1.5074,Loss D: -0.1023
Epoch 276, Loss G: -1.7205,Loss D:  0.0772
Epoch 277, Loss G: -1.4611,Loss D:  0.0550
Epoch 278, Loss G: -1.8256,Loss D: -0.1327
Epoch 279, Loss G: -1.8734,Loss D: -0.3640
Epoch 280, Loss G: -1.7348,Loss D: -0.1189
Epoch 281, Loss G: -1.8318,Loss D: -0.0856
Epoch 282, Loss G: -1.7851,Loss D:  0.1025
Epoch 283, Loss G: -2.0588,Loss D:  0.1497
Epoch 284, Loss G: -1.9624,Loss D:  0.1639
Epoch 285, Loss G: -1.7701,Loss D:  0.1674
Epoch 286, Loss G: -1.5471,Loss D: -0.1955
Epoch 287, Loss G: -1.8757,Loss D: -0.0341
Epoch 288, Loss G: -1.6310,Loss D:  0.1865
Epoch 289, Loss G: -1.4822,Loss D: -0.0227
Epoch 290, Loss G: -1.3614,Loss D: -0.0860
Epoch 291, Loss G: -1.4143,Loss D:  0.0275
Epoch 292, Loss G: -1.5050,Loss D: -0.0001
Epoch 293, Loss G: -1.5383,Loss D: -0.0233
Epoch 294, Loss G: -1.5616,Loss D:  0.3120
Epoch 295, Loss G: -1.2853,Loss D:  0.4243
Epoch 296, Loss G: -1.5544,Loss D:  0.0144
Epoch 297, Loss G: -1.4666,Loss D:  0.2333
Epoch 298, Loss G: -1.2843,Loss D:  0.0285
Epoch 299, Loss G: -1.2403,Loss D:  0.1973
Epoch 300, Loss G: -1.2588,Loss D:  0.2272
Epoch 301, Loss G: -1.2354,Loss D:  0.1322
Epoch 302, Loss G: -1.2218,Loss D:  0.0902
Epoch 303, Loss G: -1.0289,Loss D:  0.0093
Epoch 304, Loss G: -0.8918,Loss D:  0.1277
Epoch 305, Loss G: -0.8018,Loss D:  0.0086
Epoch 306, Loss G: -0.7645,Loss D: -0.0959
Epoch 307, Loss G: -0.8837,Loss D: -0.2373
Epoch 308, Loss G: -0.6153,Loss D: -0.2253
Epoch 309, Loss G: -0.4598,Loss D: -0.2192
Epoch 310, Loss G: -0.6285,Loss D: -0.1844
Epoch 311, Loss G: -0.4820,Loss D: -0.1872
Epoch 312, Loss G: -0.5974,Loss D: -0.3095
Epoch 313, Loss G: -0.5672,Loss D: -0.1998
Epoch 314, Loss G: -0.4983,Loss D:  0.1191
Epoch 315, Loss G: -0.3952,Loss D:  0.0136
Epoch 316, Loss G: -0.5631,Loss D: -0.2085
Epoch 317, Loss G: -0.6986,Loss D: -0.0032
Epoch 318, Loss G: -0.8671,Loss D:  0.1744
Epoch 319, Loss G: -0.8791,Loss D:  0.1164
Epoch 320, Loss G: -0.7745,Loss D:  0.1246
Epoch 321, Loss G: -0.7494,Loss D:  0.1612
Epoch 322, Loss G: -0.8516,Loss D:  0.2365
Epoch 323, Loss G: -0.9575,Loss D:  0.2457
Epoch 324, Loss G: -1.1249,Loss D:  0.2067
Epoch 325, Loss G: -0.7765,Loss D:  0.3036
Epoch 326, Loss G: -0.8354,Loss D:  0.0436
Epoch 327, Loss G: -0.6991,Loss D: -0.0064
Epoch 328, Loss G: -0.5462,Loss D:  0.0080
Epoch 329, Loss G: -0.6908,Loss D:  0.0194
Epoch 330, Loss G: -0.6918,Loss D: -0.0267
Epoch 331, Loss G: -0.6984,Loss D:  0.0468
Epoch 332, Loss G: -0.6369,Loss D:  0.1523
Epoch 333, Loss G: -0.7096,Loss D:  0.0304
Epoch 334, Loss G: -0.8998,Loss D: -0.1331
Epoch 335, Loss G: -0.8838,Loss D:  0.0160
Epoch 336, Loss G: -0.9208,Loss D:  0.1769
Epoch 337, Loss G: -0.8998,Loss D:  0.1135
Epoch 338, Loss G: -0.8388,Loss D:  0.2989
Epoch 339, Loss G: -1.0322,Loss D:  0.0716
Epoch 340, Loss G: -0.9733,Loss D:  0.2617
Epoch 341, Loss G: -1.0403,Loss D:  0.1066
Epoch 342, Loss G: -1.0992,Loss D:  0.1473
Epoch 343, Loss G: -1.3536,Loss D:  0.2846
Epoch 344, Loss G: -1.1349,Loss D:  0.4140
Epoch 345, Loss G: -1.2505,Loss D:  0.2704
Epoch 346, Loss G: -1.2444,Loss D:  0.1168
Epoch 347, Loss G: -1.1271,Loss D:  0.2292
Epoch 348, Loss G: -1.1514,Loss D:  0.1037
Epoch 349, Loss G: -1.1473,Loss D:  0.0968
Epoch 350, Loss G: -0.8805,Loss D: -0.1022
Epoch 351, Loss G: -0.9683,Loss D:  0.0266
Epoch 352, Loss G: -1.0146,Loss D:  0.1020
Epoch 353, Loss G: -0.9344,Loss D: -0.0559
Epoch 354, Loss G: -0.8478,Loss D: -0.0838
Epoch 355, Loss G: -0.9172,Loss D: -0.3345
Epoch 356, Loss G: -1.0214,Loss D: -0.1522
Epoch 357, Loss G: -0.8081,Loss D: -0.1712
Epoch 358, Loss G: -0.7388,Loss D: -0.1827
Epoch 359, Loss G: -0.7645,Loss D: -0.2067
Epoch 360, Loss G: -0.9531,Loss D: -0.3089
Epoch 361, Loss G: -0.8293,Loss D: -0.2405
Epoch 362, Loss G: -0.8081,Loss D: -0.3674
Epoch 363, Loss G: -0.8173,Loss D: -0.0460
Epoch 364, Loss G: -0.7473,Loss D: -0.0903
Epoch 365, Loss G: -0.8044,Loss D: -0.2656
Epoch 366, Loss G: -0.7719,Loss D: -0.0907
Epoch 367, Loss G: -0.7517,Loss D: -0.3185
Epoch 368, Loss G: -0.6232,Loss D: -0.0896
Epoch 369, Loss G: -0.9414,Loss D: -0.0116
Epoch 370, Loss G: -0.9067,Loss D: -0.0540
Epoch 371, Loss G: -0.8655,Loss D: -0.0082
Epoch 372, Loss G: -0.9622,Loss D:  0.0861
Epoch 373, Loss G: -0.8239,Loss D:  0.0364
Epoch 374, Loss G: -0.9492,Loss D:  0.2709
Epoch 375, Loss G: -0.8881,Loss D:  0.1052
Epoch 376, Loss G: -0.9401,Loss D:  0.2757
Epoch 377, Loss G: -0.7586,Loss D:  0.0214
Epoch 378, Loss G: -0.7819,Loss D:  0.1421
Epoch 379, Loss G: -0.8091,Loss D:  0.0683
Epoch 380, Loss G: -0.8897,Loss D:  0.1349
Epoch 381, Loss G: -0.7532,Loss D:  0.1596
Epoch 382, Loss G: -0.7391,Loss D:  0.0434
Epoch 383, Loss G: -0.8727,Loss D: -0.0443
Epoch 384, Loss G: -0.8215,Loss D:  0.1097
Epoch 385, Loss G: -0.7920,Loss D:  0.1512
Epoch 386, Loss G: -0.9815,Loss D:  0.0514
Epoch 387, Loss G: -0.9418,Loss D: -0.4217
Epoch 388, Loss G: -0.6756,Loss D: -0.1458
Epoch 389, Loss G: -0.8522,Loss D: -0.1501
Epoch 390, Loss G: -0.7680,Loss D:  0.3708
Epoch 391, Loss G: -0.6656,Loss D:  0.0089
Epoch 392, Loss G: -0.9766,Loss D: -0.0166
Epoch 393, Loss G: -0.7303,Loss D:  0.1807
Epoch 394, Loss G: -0.8652,Loss D:  0.2688
Epoch 395, Loss G: -0.9401,Loss D: -0.1710
Epoch 396, Loss G: -0.7639,Loss D: -0.0598
Epoch 397, Loss G: -0.8646,Loss D: -0.0689
Epoch 398, Loss G: -0.9006,Loss D:  0.0275
Epoch 399, Loss G: -0.7674,Loss D:  0.2202
Epoch 400, Loss G: -0.7588,Loss D:  0.0628
Epoch 401, Loss G: -0.6950,Loss D: -0.0436
Epoch 402, Loss G: -0.6348,Loss D: -0.0514
Epoch 403, Loss G: -0.7237,Loss D: -0.0522
Epoch 404, Loss G: -0.5637,Loss D: -0.1490
Epoch 405, Loss G: -0.4510,Loss D: -0.3139
Epoch 406, Loss G: -0.4690,Loss D: -0.1446
Epoch 407, Loss G: -0.6157,Loss D: -0.3774
Epoch 408, Loss G: -0.6051,Loss D: -0.1554
Epoch 409, Loss G: -0.9255,Loss D: -0.1198
Epoch 410, Loss G: -0.7484,Loss D:  0.1135
Epoch 411, Loss G: -0.7157,Loss D: -0.1061
Epoch 412, Loss G: -1.0418,Loss D:  0.1093
Epoch 413, Loss G: -1.0288,Loss D:  0.1508
Epoch 414, Loss G: -0.9974,Loss D:  0.2563
Epoch 415, Loss G: -1.1092,Loss D:  0.0212
Epoch 416, Loss G: -1.1397,Loss D:  0.0046
Epoch 417, Loss G: -0.8088,Loss D:  0.2179
Epoch 418, Loss G: -0.9532,Loss D: -0.0919
Epoch 419, Loss G: -1.0237,Loss D: -0.1314
Epoch 420, Loss G: -0.9514,Loss D:  0.2898
Epoch 421, Loss G: -0.8847,Loss D: -0.1413
Epoch 422, Loss G: -0.9832,Loss D:  0.2282
Epoch 423, Loss G: -0.8557,Loss D: -0.1036
Epoch 424, Loss G: -0.9065,Loss D: -0.1932
Epoch 425, Loss G: -0.6642,Loss D: -0.0688
Epoch 426, Loss G: -0.6086,Loss D: -0.2619
Epoch 427, Loss G: -0.6794,Loss D: -0.1374
Epoch 428, Loss G: -0.6899,Loss D: -0.2756
Epoch 429, Loss G: -0.5845,Loss D: -0.1320
Epoch 430, Loss G: -0.8496,Loss D: -0.0384
Epoch 431, Loss G: -0.8531,Loss D: -0.0218
Epoch 432, Loss G: -0.7221,Loss D: -0.3111
Epoch 433, Loss G: -0.7557,Loss D: -0.2040
Epoch 434, Loss G: -0.7563,Loss D: -0.0041
Epoch 435, Loss G: -0.9173,Loss D: -0.1798
Epoch 436, Loss G: -0.9137,Loss D: -0.0335
Epoch 437, Loss G: -0.9316,Loss D: -0.0170
Epoch 438, Loss G: -0.9879,Loss D: -0.0645
Epoch 439, Loss G: -1.0177,Loss D:  0.1109
Epoch 440, Loss G: -1.1974,Loss D:  0.2211
Epoch 441, Loss G: -1.1042,Loss D:  0.1643
Epoch 442, Loss G: -1.3521,Loss D: -0.1210
Epoch 443, Loss G: -1.3768,Loss D:  0.2703
Epoch 444, Loss G: -1.3800,Loss D:  0.0355
Epoch 445, Loss G: -1.5089,Loss D:  0.1259
Epoch 446, Loss G: -1.3926,Loss D:  0.0423
Epoch 447, Loss G: -1.3866,Loss D:  0.0388
Epoch 448, Loss G: -1.2935,Loss D:  0.0437
Epoch 449, Loss G: -1.2445,Loss D: -0.1260
Epoch 450, Loss G: -1.3379,Loss D: -0.2518
Epoch 451, Loss G: -1.3672,Loss D: -0.0777
Epoch 452, Loss G: -1.2047,Loss D: -0.1249
Epoch 453, Loss G: -1.0785,Loss D:  0.4132
Epoch 454, Loss G: -1.3309,Loss D: -0.1768
Epoch 455, Loss G: -1.2209,Loss D: -0.1047
Epoch 456, Loss G: -1.2897,Loss D: -0.1203
Epoch 457, Loss G: -1.2131,Loss D:  0.1927
Epoch 458, Loss G: -1.2454,Loss D: -0.1736
Epoch 459, Loss G: -1.3367,Loss D: -0.0417
Epoch 460, Loss G: -1.4701,Loss D:  0.1344
Epoch 461, Loss G: -1.6437,Loss D:  0.1507
Epoch 462, Loss G: -1.4775,Loss D:  0.3654
Epoch 463, Loss G: -1.6975,Loss D:  0.1861
Epoch 464, Loss G: -1.7721,Loss D:  0.1293
Epoch 465, Loss G: -1.5481,Loss D:  0.1300
Epoch 466, Loss G: -1.4447,Loss D: -0.0362
Epoch 467, Loss G: -1.6890,Loss D: -0.2298
Epoch 468, Loss G: -1.8587,Loss D: -0.1762
Epoch 469, Loss G: -1.5922,Loss D: -0.3509
Epoch 470, Loss G: -1.6118,Loss D: -0.4186
Epoch 471, Loss G: -1.4872,Loss D: -0.3318
Epoch 472, Loss G: -1.4510,Loss D: -0.4546
Epoch 473, Loss G: -1.6294,Loss D: -0.4305
Epoch 474, Loss G: -1.8083,Loss D: -0.4477
Epoch 475, Loss G: -1.6214,Loss D: -0.3095
Epoch 476, Loss G: -1.6078,Loss D: -0.0065
Epoch 477, Loss G: -1.6593,Loss D:  0.1926
Epoch 478, Loss G: -1.7164,Loss D:  0.1770
Epoch 479, Loss G: -1.6622,Loss D:  0.1063
Epoch 480, Loss G: -1.9112,Loss D:  0.0151
Epoch 481, Loss G: -2.0777,Loss D: -0.2575
